epoch,ap_pred_acc,ap_pred_loss,ap_pred_mape_ap,ap_pred_mape_pp,ap_pred_metric_mape,loss,seg_acc,seg_iou_score,seg_loss,val_ap_pred_acc,val_ap_pred_loss,val_ap_pred_mape_ap,val_ap_pred_mape_pp,val_ap_pred_metric_mape,val_loss,val_seg_acc,val_seg_iou_score,val_seg_loss
0,0.9856448769569397,0.013688074424862862,44.5958137512207,29.278438568115234,36.887786865234375,0.3349207937717438,0.9920627474784851,0.5778488516807556,0.3212328851222992,0.9806884527206421,0.001756044803187251,24.92665672302246,19.55853843688965,22.242595672607422,0.10745245963335037,0.9984603524208069,0.8166300654411316,0.10569649189710617
1,0.9658803939819336,0.001694605452939868,30.10892677307129,16.678346633911133,23.363189697265625,0.11885122954845428,0.9982898831367493,0.7974977493286133,0.1171567440032959,0.9567806124687195,0.001396474428474903,10.885793685913086,8.036696434020996,9.461241722106934,0.0871821939945221,0.9987146854400635,0.8466989994049072,0.08578578382730484
2,0.9369165897369385,0.0014462393010035157,14.87450885772705,7.5253167152404785,11.192980766296387,0.10832630842924118,0.9984573721885681,0.8128805160522461,0.10688053071498871,0.9147839546203613,0.0011727929813787341,4.685215950012207,3.799093246459961,4.242158889770508,0.07604813575744629,0.9988870024681091,0.864350438117981,0.0748753622174263
3,0.9202936887741089,0.001348964055068791,9.452840805053711,4.208449363708496,6.816601753234863,0.10451829433441162,0.9985263347625732,0.8184884786605835,0.10316942632198334,0.926796555519104,0.001146263675764203,2.303518533706665,1.9846429824829102,2.1440792083740234,0.0773204043507576,0.9989205002784729,0.8610531091690063,0.07617414742708206
4,0.8919914364814758,0.0012823478318750858,6.221803665161133,3.850717782974243,5.020480632781982,0.09835610538721085,0.9986512660980225,0.8273822665214539,0.09707377105951309,0.8873834013938904,0.0011134101077914238,1.7770671844482422,1.8466663360595703,1.8118680715560913,0.07329604029655457,0.9988985657691956,0.8694660663604736,0.07218264788389206
5,0.8551329970359802,0.0012347757583484054,5.682068824768066,3.503284215927124,4.585855007171631,0.09455809742212296,0.9987334609031677,0.8329936265945435,0.0933234840631485,0.8526175618171692,0.0010679715778678656,1.7345468997955322,1.7690985202789307,1.7518235445022583,0.07072746008634567,0.9989721179008484,0.8730381727218628,0.0696595087647438
6,0.8524203300476074,0.0012066031340509653,5.383051872253418,3.349639654159546,4.363780975341797,0.09284933656454086,0.9987713694572449,0.8358706831932068,0.09164262562990189,0.8584012389183044,0.0010438986355438828,1.554181694984436,1.8386294841766357,1.6964069604873657,0.07185157388448715,0.999001145362854,0.8700089454650879,0.07080772519111633
7,0.8575395941734314,0.001176381716504693,5.131918430328369,3.289950370788574,4.21107292175293,0.08949883282184601,0.9988300204277039,0.840961217880249,0.08832259476184845,0.8708732724189758,0.0010379758896306157,1.4136086702346802,1.7002229690551758,1.5569164752960205,0.06815583258867264,0.9989343285560608,0.878838300704956,0.06711786985397339
8,0.8703262209892273,0.0011654139962047338,5.965941905975342,3.4950027465820312,4.7240214347839355,0.08934756368398666,0.9988535642623901,0.841126024723053,0.08818211406469345,0.8841975331306458,0.0010165662970393896,1.4094946384429932,1.6912305355072021,1.5503634214401245,0.06221992149949074,0.9991751313209534,0.8861262202262878,0.06120333820581436
9,0.7979046702384949,0.0011386516271159053,5.334084987640381,3.0318455696105957,4.187772750854492,0.08580787479877472,0.9989134669303894,0.8468338847160339,0.08466923236846924,0.6375776529312134,0.0010375537676736712,1.4439486265182495,1.6309895515441895,1.5374687910079956,0.0669083520770073,0.9991257786750793,0.8777744770050049,0.06587077677249908
10,0.664341151714325,0.0011248785303905606,4.365074157714844,3.111771583557129,3.7364747524261475,0.08452235907316208,0.9989516735076904,0.8488598465919495,0.08339746296405792,0.621669352054596,0.001009069848805666,1.4509292840957642,1.6569026708602905,1.5539159774780273,0.06594438850879669,0.9990500211715698,0.8803677558898926,0.06493523716926575
11,0.6183023452758789,0.0011093447683379054,4.803574562072754,2.9400479793548584,3.8729937076568604,0.08353667706251144,0.9989359974861145,0.8509775996208191,0.0824272632598877,0.5889280438423157,0.0010107319103553891,1.2814604043960571,1.622799277305603,1.4521310329437256,0.06003786623477936,0.9991832971572876,0.8899642825126648,0.05902710184454918
12,0.5871408581733704,0.0011082260170951486,5.1140570640563965,2.9111783504486084,4.006580829620361,0.0817427933216095,0.9989746809005737,0.8533778786659241,0.08063448965549469,0.56458580493927,0.0010001950431615114,1.3471505641937256,1.6063778400421143,1.4767645597457886,0.06270065158605576,0.9991434812545776,0.8853908777236938,0.06170045956969261
13,0.5598175525665283,0.0010858484311029315,5.16480827331543,3.041346311569214,4.071139335632324,0.07876872271299362,0.9990332722663879,0.8579736948013306,0.07768286764621735,0.5674036145210266,0.000982434256002307,1.3179512023925781,1.6231555938720703,1.4705531597137451,0.05537557601928711,0.9992398619651794,0.8981179594993591,0.05439312756061554
14,0.5530297160148621,0.0010836595902219415,4.04268741607666,3.050347328186035,3.5378119945526123,0.07847419381141663,0.9990435242652893,0.8586615920066833,0.07739074528217316,0.5238578915596008,0.0009756420622579753,1.3681737184524536,1.5283095836639404,1.4482413530349731,0.055492013692855835,0.9992577433586121,0.8978379964828491,0.05451638251543045
