epoch,ap_pred_MAPE_V1,ap_pred_acc,ap_pred_loss,ap_pred_mape_apV1,ap_pred_mape_ppV1,loss,seg_acc,seg_iou_score,seg_loss,val_ap_pred_MAPE_V1,val_ap_pred_acc,val_ap_pred_loss,val_ap_pred_mape_apV1,val_ap_pred_mape_ppV1,val_loss,val_seg_acc,val_seg_iou_score,val_seg_loss
0,89.16902923583984,0.00022241992701310664,54216.62109375,86.316162109375,92.01117706298828,54217.23828125,0.9843283891677856,0.25390881299972534,0.6238889694213867,76.37193298339844,0.0,47848.6953125,69.69001007080078,83.05384826660156,47849.0703125,0.9965125918388367,0.4565967321395874,0.385166734457016
1,78.72940826416016,0.00022241992701310664,45321.03125,81.10474395751953,76.3150405883789,45321.375,0.9962968230247498,0.5142595767974854,0.3336638808250427,70.4189682006836,0.0,42702.59375,69.02710723876953,71.8108139038086,42702.8046875,0.9974198937416077,0.6691876649856567,0.2083364576101303
2,72.51873779296875,0.00022241992701310664,42042.3984375,78.24968719482422,66.84251403808594,42042.69140625,0.9966903328895569,0.5857367515563965,0.2740480601787567,69.11466217041016,0.0,41764.66796875,69.31426239013672,68.91504669189453,41764.87109375,0.9974305629730225,0.6860358119010925,0.19806133210659027
3,70.66905975341797,0.00022241992701310664,41423.66015625,78.3537368774414,62.99809646606445,41423.91015625,0.996822714805603,0.610386312007904,0.25384414196014404,64.92315673828125,0.0,42163.69921875,64.85928344726562,64.98702239990234,42163.90625,0.9970194697380066,0.6605305075645447,0.21292461454868317
4,68.06442260742188,0.00022241992701310664,41206.96484375,73.16590118408203,62.96516418457031,41207.19140625,0.9970343708992004,0.6395308971405029,0.2312297821044922,62.71268844604492,0.0,41267.42578125,65.35350799560547,60.071868896484375,41267.59765625,0.9976621866226196,0.7233640551567078,0.1691613495349884
5,69.16950988769531,0.00022241992701310664,41133.84765625,72.67608642578125,65.58210754394531,41134.046875,0.997224748134613,0.6628459692001343,0.21354669332504272,62.72182846069336,0.0,41093.87890625,64.12006378173828,61.32357406616211,41094.0390625,0.9977583885192871,0.7421450614929199,0.15722815692424774
6,66.37722778320312,0.00022241992701310664,40873.359375,70.25200653076172,62.50801467895508,40873.55078125,0.9972707033157349,0.6734949350357056,0.20585572719573975,65.65779113769531,0.0,41349.59375,68.89729309082031,62.418296813964844,41349.76171875,0.9975929260253906,0.7299207448959351,0.16453060507774353
7,65.67373657226562,0.00022241992701310664,40936.87109375,70.74323272705078,60.59453582763672,40937.0703125,0.9974181652069092,0.6950567364692688,0.1909356266260147,62.14400863647461,0.0,41155.625,62.68539047241211,61.60261535644531,41155.75,0.9979129433631897,0.7755420804023743,0.13511323928833008
8,75.91633605957031,0.00022241992701310664,40827.05078125,90.35420989990234,61.527950286865234,40827.2421875,0.9974194765090942,0.6984498500823975,0.1877785623073578,63.12565994262695,0.0,41405.671875,65.90629577636719,60.34503936767578,41405.82421875,0.997632622718811,0.7423756718635559,0.15536105632781982
9,63.92807388305664,0.00022241992701310664,40786.87109375,67.85396575927734,60.00376892089844,40787.0390625,0.9976013898849487,0.7225944995880127,0.17054347693920135,62.30195999145508,0.0,41068.5546875,62.137821197509766,62.466102600097656,41068.69140625,0.9980452060699463,0.7880346775054932,0.12687844038009644
10,68.27796936035156,0.00022241992701310664,40730.21484375,77.15846252441406,59.38418960571289,40730.3828125,0.9976370930671692,0.7267476320266724,0.1675638109445572,63.727455139160156,0.0,41098.328125,65.50843811035156,61.94646453857422,41098.46875,0.9980250597000122,0.7829074263572693,0.1287693977355957
